"""high""- Xtallize FeS",,
S (wt%S),T (K),P (GPa) 
25,1480,21
26,1532,21
27,1586,21
28,1637,21
29,1685,21
30,1731,21
31,1775,21
32,1818,21
33,1859,21
34,1898,21
35,1937,21
36,1974,21
21,1492,23
22,1555,23
23,1614,23
24,1669,23
25,1720,23
26,1768,23
27,1812,23
28,1852,23
29,1888,23
30,1921,23
31,1950,23
32,1976,23
33,1997,23
34,2015,23
35,2029,23
36,2040,23
14.1,1455,30
15,1575,30
16,1646,30
17,1707,30
18,1759,30
19,1804,30
20,1842,30
21,1876,30
22,1906,30
23,1934,30
24,1958,30
25,1982,30
26,2003,30
27,2023,30
28,2042,30
29,2060,30
30,2077,30
31,2093,30
32,2109,30
33,2124,30
34,2138,30
35,2151,30
36,2164,30
12.43069,1597.2,40
13,1647,40
14,1730,40
15,1787,40
16,1833,40
17,1873,40
18,1908,40
19,1941,40
20,1971,40
21,1999,40
22,2026,40
23,2051,40
24,2075,40
25,2098,40
26,2120,40
27,2142,40
28,2162,40
29,2182,40
30,2202,40
31,2220,40
32,2239,40
33,2256,40
34,2274,40
35,2291,40
36,2308,40
14.10859,1454.85,30
13.91929,1469.085,31
13.73477,1483.32,32
13.55503,1497.555,33
13.38007,1511.79,34
13.20989,1526.025,35
13.04449,1540.26,36
12.88387,1554.495,37
12.72803,1568.73,38
12.57697,1582.965,39
14,1454.8252,29.9534
15,1462.2065,28.607
16,1468.9928,27.3888
17,1475.0443,26.2898
18,1480.2212,25.301
19,1484.3837,24.4134
20,1487.392,23.618
21,1489.1063,22.9058
22,1489.3868,22.2678
23,1488.0937,21.695
24,1485.0872,21.1784
25,1480.2275,20.709
