"""low""- Fe-rich liquidus",,
S (wt%S),T (K),P (GPa) 
0,2666.437375,40
1,2611.7354,40
2,2552.5496,40
3,2487.6426,40
4,2417.0144,40
5,2340.665,40
6,2258.5944,40
7,2170.8026,40
8,2077.2896,40
9,1978.0554,40
10,1873.1,40
11,1762.4234,40
12,1646.0256,40
12.38891591,1597.2,40
0,2424.289494,23
1,2322.5167,23
2,2241.7736,23
3,2180.5609,23
4,2134.5688,23
5,2099.4875,23
6,2071.0072,23
7,2044.8181,23
8,2016.6104,23
9,1982.0743,23
10,1936.9,23
11,1876.7777,23
12,1797.3976,23
13,1694.4499,23
14,1563.6248,23
15,1400.6125,23
15.19344891,1355.205,23
0,2369.152935,20
1,2243.5579,20
2,2144.1552,20
3,2062.1373,20
4,1994.7496,20
5,1939.2375,20
6,1892.8464,20
7,1852.8217,20
8,1816.4088,20
9,1780.8531,20
10,1743.4,20
11,1701.2949,20
12,1651.7832,20
13,1592.1103,20
14,1519.5216,20
15,1431.2625,20
16.09634453,1312.5,20
0,2387.970962,21
0,2406.348463,22
0,2441.798111,24
0,2458.87837,25
0,2475.534327,26
0,2491.770038,27
0,2507.589559,28
0,2522.996946,29
0,2537.996255,30
0,2552.591542,31
0,2566.786863,32
0,2580.586274,33
0,2593.993831,34
0,2607.01359,35
0,2619.649607,36
0,2631.905938,37
0,2643.786639,38
0,2655.295766,39
15.77561864,1326.735,21
15.47507685,1340.97,22
14.92954453,1369.44,24
14.68224833,1383.675,25
14.4505151,1397.91,26
14.23336543,1412.145,27
14.02988154,1426.38,28
13.83920341,1440.615,29
13.66052514,1454.85,30
13.49309154,1469.085,31
13.33619497,1483.32,32
13.18917229,1497.555,33
13.05140213,1511.79,34
12.92230219,1526.025,35
12.80132683,1540.26,36
12.68796477,1554.495,37
12.58173686,1568.73,38
12.48219415,1582.965,39
0,2537.996255,30
1,2459.3384,30
2,2392.7392,30
3,2336.1758,30
4,2286.2216,30
5,2239.45,30
6,2192.4344,30
7,2141.7482,30
8,2083.9648,30
9,2015.6576,30
10,1933.4,30
11,1833.7654,30
12,1713.3272,30
13,1568.6588,30
13.66052514,1454.85,30
